Content ID,Title,Year,Age,IMDb,Rotten Tomatoes,Hidden Gem,Awards Received,Awards Nominated,Directors,Platform,Type
NM1,The Irishman,2019,18+,78,98,45,74,334,Martin Scorsese,Netflix,Movie
NM2,Dangal,2016,7+,84,97,43,23,6,Nitesh Tiwari,Netflix,Movie
NM3,David Attenborough: A Life On Our Planet,2020,7+,90,95,41,3,2,Alastair Fothergill,Netflix,Movie
NM4,Lagaan: Once Upon A Time In India,2001,7+,81,94,43,54,20,Ashutosh Gowariker,Netflix,Movie
NM5,Roma,2018,18+,77,94,43,212,251,Alfonso Cuarón,Netflix,Movie
NM6,To All The Boys I'Ve Loved Before,2018,13+,71,94,34,5,11,Susan Johnson,Netflix,Movie
NM7,The Social Dilemma,2020,13+,76,93,39,3,11,Jeff Orlowski,Netflix,Movie
NM8,Okja,2017,13+,73,92,39,7,21,Bong Joon Ho,Netflix,Movie
NM9,The Ballad Of Buster Scruggs,2018,16+,73,92,40,7,41,Ethan Coen,Netflix,Movie
NM10,The Trial Of The Chicago 7,2020,18+,78,92,39,31,119,Aaron Sorkin,Netflix,Movie
NM11,Article 15,2019,18+,82,92,43,15,19,Anubhav Sinha,Netflix,Movie
NM12,"Jim & Andy: The Great Beyond- Featuring A Very Special, Contractually Obligated Mention Of Tony Clifton",2017,18+,77,92,41,3,7,Chris Smith,Netflix,Movie
NM13,Dolemite Is My Name,2019,18+,73,92,41,29,65,Craig Brewer,Netflix,Movie
NM14,Mudbound,2017,18+,74,91,43,35,117,Dee Rees,Netflix,Movie
NM15,Swades,2004,all,82,91,41,13,23,Ashutosh Gowariker,Netflix,Movie
NM16,Fyre,2019,18+,72,91,40,0,5,Chris Smith,Netflix,Movie
NM17,Miss Americana,2020,18+,74,90,35,2,4,Lana Wilson,Netflix,Movie
NM18,Virunga,2014,16+,82,90,46,43,28,Orlando von Einsiedel,Netflix,Movie
NM19,Black Friday,2004,18+,85,90,42,1,4,Anurag Kashyap,Netflix,Movie
NM20,Talvar,2015,7+,82,90,43,0,0,Meghna Gulzar,Netflix,Movie
NM21,The King,2019,18+,72,90,34,12,28,David Mich√¥d,Netflix,Movie
